PlotID,SubPlot,Species,Live/Dead,Height_class,Tally,Notes
WCF_5,C1,Sx,D,31-130,0,
WCF_5,C1,Bl,L,0-30,0,
WCF_5,C1,Bl,L,31-130,0,
WCF_5,C1,Bl,D,0-30,0,
WCF_5,C1,Bl,D,31-130,0,
WCF_5,C1,Lw,L,0-30,0,
WCF_5,C1,Lw,L,31-130,0,
WCF_5,C1,Lw,D,0-30,0,
WCF_5,C1,Lw,D,31-130,0,
WCF_5,C1,Hw,L,0-30,0,
WCF_5,C1,Hw,L,31-130,0,
WCF_5,C1,Hw,D,0-30,0,
WCF_5,C1,Hw,D,31-130,0,
WCF_5,C1,At,L,0-30,0,
WCF_5,C1,At,L,31-130,0,
WCF_5,C1,At,D,0-30,0,
WCF_5,C1,At,D,31-130,0,
WCF_5,C1,Ac,L,0-30,0,
WCF_5,C1,Ac,L,31-130,0,
WCF_5,C1,Ac,D,0-30,0,
WCF_5,C1,Ac,D,31-130,0,
WCF_5,C2,Pl,L,0-30,0,
WCF_5,C2,Pl,L,31-130,0,
WCF_5,C2,Pl,D,0-30,0,
WCF_5,C2,Pl,D,31-130,0,
WCF_5,C2,Sx,L,0-30,0,
WCF_5,C2,Sx,L,31-130,0,
WCF_5,C2,Sx,D,0-30,0,
WCF_5,C2,Sx,D,31-130,0,
WCF_5,C2,Bl,L,0-30,0,
WCF_5,C2,Bl,L,31-130,3,
WCF_5,C2,Bl,D,0-30,0,
WCF_5,C2,Bl,D,31-130,0,
