PlotID,tin_weight,dry_weight+tin_weight,final_dry_weight
WCF_1,17.6,173,155.4
WCF_2,17.4,174.7,157.3
WCF_3,17.7,132.6,114.9
WCF_4,17.5,60.6,43.1
WCF_5,17.8,53.9,36.1
WCF_6,17.4,124.3,106.9
WCF_7,17.4,127.7,110.3
WCF_8,17.9,99.3,81.4
WCF_9,17.8,42.6,24.8
